sku,canonical_name,category,alias_count,alias_examples,has_card,has_primary_photo,extra_photo_count,video_count,cert_pdf_count,retail_byn,partner_byn,pv_present,section_coverage,presentation_grade,missing_fields,source_refs,rendered_length,rendered_sections,renderer_defects,rendered_preview
F028-00,Капсулы линчжи ФОХОУ,consumables,8,линчжи; капсулы линчжи,True,True,1,1,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,962,6,,
F031-00,Чай Лювэй,consumables,2,чай лювэй; чай лю вэй,True,True,2,1,2,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,977,6,,
F034-00,Кофейный напиток с кордицепсом и коллагеном,consumables,1,кофе с кордицепсом,True,True,3,1,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,1023,6,,
F036-00,Спирулина,consumables,1,спирулина,True,True,5,0,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,resources:video_optional,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,874,6,,
F038-00,Низкомолекулярный соевый пептид,consumables,6,соевый пептид; пептид,True,True,1,3,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,1023,6,,
F071-00,Паста Цинфэн,consumables,2,цинфэн; паста цинфэн,True,True,5,0,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,resources:video_optional,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,882,6,,
F087-00,Леденцы со спирулиной (5 шт),consumables,0,,False,True,4,0,1,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
M014-00,"МИНИСАУНА ""БА-ГУА""",device,9,сауна багуа; багуа,True,True,0,1,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,1408,6,,
M015-00,Активатор клеток,device,4,активатор клеток; активатор,True,True,0,3,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,1727,6,,
T001,Наколенники,home_wellness,0,,False,True,1,0,0,True,False,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
T002-00,Шейная накладка,home_wellness,0,,False,True,1,0,0,True,False,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,(no card)
T003,Магнитный пояс,home_wellness,5,пояс; магнитный пояс,False,True,1,0,0,True,False,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,
T015,Палантин,accessory,6,палантин; энергетический палантин,True,True,0,1,1,True,True,True,what_it_is=Y|who_asks_about_it=Y|common_use_cases=Y|how_to_use_short=Y|what_to_expect_soft=Y|contraindications_short=Y,showcase_ready,,snapshot=20260811T172219Z; products.tsv; product_cards.tsv,1278,6,,
T023,Носки Health Priority,home_wellness,0,,False,True,1,0,1,True,True,True,no_card,blocked,product_cards:row_missing,snapshot=20260811T172219Z; products.tsv; product_cards.tsv:missing,0,0,,
