sku	canonical_name	by_retail_byn	by_retail_w	by_retail_pv	by_repeat_byn	by_repeat_w	by_repeat_pv	ru_retail_rub	ru_retail_w	ru_retail_pv	ru_repeat_rub	ru_repeat_w	ru_repeat_pv	in_by	in_ru	notes
repeat-only-17	Арома-подушечки				52.5	15	5				1500	15	5	TRUE	TRUE	
repeat-only-18	Лазерный провод 3.0 TUV										500	5	0	FALSE	TRUE	
repeat-only-19	Импульсный провод										300	3	0	FALSE	TRUE	
repeat-only-20	Сменный фильтр для устройства очистки воздуха										1500	15	5	FALSE	TRUE	
repeat-only-21	Нагревательный пояс прибора Вэнтун 1.0										5000	50	0	FALSE	TRUE	
repeat-only-22	Хлопковый фильтр				7	2	0				200	2	0	TRUE	TRUE	
repeat-only-23	Адаптер										500	5	0	FALSE	TRUE	
repeat-only-24	Гель для интимной гигиены (240 ml + 50 ml)				157.5	45	30							TRUE	FALSE	
repeat-only-25	Растительный красящий шампунь + маска для волос				70	20	10							TRUE	FALSE	
repeat-only-26	Расчёска с функцией окрашивания волос				52.5	15	10							TRUE	FALSE	
repeat-only-27	Руководство по использованию массажёра Magic FoHerb				7	2	0							TRUE	FALSE	
	Комплексный белковый протеин	175	50	30	140	40	25							TRUE	FALSE	нет на сайте
	Подушка «Здоровый сон» (1 шт), предпродажа							15000	150	90	11000	110	60	FALSE	TRUE	нет на сайте
	Адаптер 3.0 TUV										300	3	0	FALSE	TRUE	нет на сайте; отдельный SKU от «Адаптер»
